DATE,POC_Code,T2M,Island,Fuel_Code,Latitude,Longitude
2019-01-17,WDV1101,19.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-18,WDV1101,18.77,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-19,WDV1101,19.26,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-20,WDV1101,17.95,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-21,WDV1101,17.15,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-22,WDV1101,17.08,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-23,WDV1101,18.5,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-24,WDV1101,15.86,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-25,WDV1101,16.36,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-26,WDV1101,16.28,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-27,WDV1101,18.86,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-28,WDV1101,19.98,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-29,WDV1101,22.11,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-30,WDV1101,22.52,NI,Wind,-40.31545683722073,175.85606683277967
2019-01-31,WDV1101,22.43,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-01,WDV1101,20.17,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-02,WDV1101,16.91,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-03,WDV1101,18.64,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-04,WDV1101,19.37,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-05,WDV1101,19.56,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-06,WDV1101,15.13,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-07,WDV1101,14.72,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-08,WDV1101,17.23,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-09,WDV1101,18.88,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-10,WDV1101,19.72,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-11,WDV1101,19.63,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-12,WDV1101,18.53,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-13,WDV1101,20.28,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-14,WDV1101,19.11,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-15,WDV1101,18.9,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-16,WDV1101,16.23,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-17,WDV1101,16.55,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-18,WDV1101,17.14,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-19,WDV1101,17.82,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-20,WDV1101,18.51,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-21,WDV1101,20.15,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-22,WDV1101,20.08,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-23,WDV1101,17.11,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-24,WDV1101,12.91,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-25,WDV1101,12.76,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-26,WDV1101,13.83,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-27,WDV1101,15.39,NI,Wind,-40.31545683722073,175.85606683277967
2019-02-28,WDV1101,13.1,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-01,WDV1101,13.3,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-02,WDV1101,13.83,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-03,WDV1101,16.1,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-04,WDV1101,15.62,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-05,WDV1101,17.14,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-06,WDV1101,17.65,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-07,WDV1101,18.44,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-08,WDV1101,17.62,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-09,WDV1101,17.02,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-10,WDV1101,16.21,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-11,WDV1101,17.53,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-12,WDV1101,17.45,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-13,WDV1101,18.5,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-14,WDV1101,18.57,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-15,WDV1101,19.21,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-16,WDV1101,18.21,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-17,WDV1101,16.79,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-18,WDV1101,17.55,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-19,WDV1101,17.76,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-20,WDV1101,17.22,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-21,WDV1101,17.04,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-22,WDV1101,17.55,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-23,WDV1101,17.32,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-24,WDV1101,17.15,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-25,WDV1101,18.29,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-26,WDV1101,18.7,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-27,WDV1101,18.37,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-28,WDV1101,15.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-29,WDV1101,16.04,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-30,WDV1101,16.98,NI,Wind,-40.31545683722073,175.85606683277967
2019-03-31,WDV1101,19.0,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-01,WDV1101,17.55,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-02,WDV1101,13.64,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-03,WDV1101,11.59,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-04,WDV1101,13.0,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-05,WDV1101,11.7,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-06,WDV1101,10.33,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-07,WDV1101,11.38,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-08,WDV1101,12.88,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-09,WDV1101,13.39,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-10,WDV1101,15.82,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-11,WDV1101,14.05,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-12,WDV1101,11.69,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-13,WDV1101,8.97,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-14,WDV1101,9.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-15,WDV1101,9.85,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-16,WDV1101,10.62,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-17,WDV1101,10.97,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-18,WDV1101,11.17,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-19,WDV1101,10.85,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-20,WDV1101,12.82,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-21,WDV1101,13.35,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-22,WDV1101,13.02,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-23,WDV1101,14.01,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-24,WDV1101,14.23,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-25,WDV1101,14.3,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-26,WDV1101,14.71,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-27,WDV1101,15.82,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-28,WDV1101,13.98,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-29,WDV1101,12.28,NI,Wind,-40.31545683722073,175.85606683277967
2019-04-30,WDV1101,9.82,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-01,WDV1101,10.01,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-02,WDV1101,10.5,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-03,WDV1101,11.52,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-04,WDV1101,11.54,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-05,WDV1101,12.76,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-06,WDV1101,12.49,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-07,WDV1101,11.73,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-08,WDV1101,12.33,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-09,WDV1101,13.33,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-10,WDV1101,14.28,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-11,WDV1101,13.52,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-12,WDV1101,13.88,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-13,WDV1101,11.19,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-14,WDV1101,9.87,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-15,WDV1101,13.59,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-16,WDV1101,12.41,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-17,WDV1101,7.05,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-18,WDV1101,10.4,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-19,WDV1101,12.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-20,WDV1101,11.26,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-21,WDV1101,11.97,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-22,WDV1101,12.66,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-23,WDV1101,13.49,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-24,WDV1101,12.17,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-25,WDV1101,11.57,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-26,WDV1101,12.32,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-27,WDV1101,12.32,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-28,WDV1101,13.01,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-29,WDV1101,13.17,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-30,WDV1101,13.85,NI,Wind,-40.31545683722073,175.85606683277967
2019-05-31,WDV1101,12.02,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-01,WDV1101,8.61,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-02,WDV1101,6.83,NI,Wind,-40.31545683722073,175.85606683277967
2019-06-03,WDV1101,7.32,NI,Wind,-40.31545683722073,175.85606683277967
