Island,Total_TP,PS,T2M,WD50M,WS50M
NI,533291.7229857143,97.54857142857144,11.534285714285716,51.92857142857143,8.45
NI,623500.1313285715,97.96285714285715,9.521428571428572,222.64285714285714,8.578571428571427
NI,263229.48,99.4042857142857,7.182857142857143,169.5142857142857,4.607142857142857
NI,291900.2178428572,100.15285714285713,8.379999999999999,333.0857142857143,4.87
NI,681808.9928571429,100.33142857142857,9.69,292.4857142857143,5.262857142857143
NI,987269.1656857143,100.65428571428572,10.53857142857143,307.40000000000003,7.277142857142857
NI,1277824.3442571429,100.5,12.428571428571429,312.45714285714286,11.154285714285715
NI,1044323.6185714286,99.95714285714287,12.794285714285715,316.2,13.184285714285716
NI,889213.7685714286,99.77714285714286,9.628571428571428,287.88571428571424,10.997142857142856
NI,995929.0499999999,99.14428571428572,9.867142857142857,287.42857142857144,13.232857142857142
NI,949337.3471428572,99.16285714285713,9.505714285714287,275.6142857142857,10.691428571428572
NI,1007034.2000000001,99.27,11.401428571428571,279.61428571428576,10.382857142857144
NI,650634.0001857142,99.57571428571428,8.162857142857144,218.5142857142857,6.869999999999999
NI,183991.32325714288,100.39142857142858,6.731428571428572,209.72857142857143,5.631428571428572
NI,548100.3746714286,100.82857142857142,7.424285714285714,304.0285714285714,5.734285714285714
NI,1182198.9928571428,100.14285714285714,10.387142857142857,315.9428571428571,10.45142857142857
NI,1197752.0085714287,99.4342857142857,12.871428571428572,330.5142857142857,13.114285714285714
NI,870293.8187999999,98.86142857142856,11.918571428571427,262.74285714285713,9.06857142857143
NI,939345.6117428571,98.97714285714287,9.471428571428572,280.42857142857144,8.485714285714286
NI,736287.5380857142,100.34,5.859999999999999,190.07142857142858,10.414285714285713
NI,716476.2272285714,101.31714285714285,5.304285714285714,158.72857142857143,8.051428571428572
NI,349773.1709428571,100.80857142857143,6.272857142857143,163.68571428571428,6.442857142857143
NI,368933.43289999996,100.20428571428572,5.912857142857143,225.55714285714288,5.105714285714285
NI,1214670.582857143,99.64571428571428,8.945714285714287,290.7714285714286,9.412857142857144
NI,823988.6285285715,99.77857142857144,8.531428571428572,263.6571428571429,7.587142857142857
NI,1195550.9,99.66571428571429,9.58,291.4,9.897142857142857
NI,1271899.8699999999,99.41142857142857,10.6,283.2285714285714,12.588571428571429
NI,873192.6302857144,99.78428571428572,10.191428571428572,291.8285714285715,8.11
NI,644743.3957142857,100.00857142857141,10.54142857142857,283.0571428571429,6.42
NI,822393.7754571429,100.00714285714285,9.542857142857143,313.45714285714286,7.325714285714286
NI,1047388.0800000001,99.0657142857143,9.942857142857141,331.25714285714287,10.198571428571428
NI,563838.5360428572,99.17285714285715,9.384285714285713,111.07142857142857,4.624285714285714
NI,959305.9487142857,98.75,9.411428571428571,285.12857142857143,8.734285714285715
NI,1020432.0171428572,98.68285714285715,10.018571428571429,293.02857142857147,10.845714285714285
NI,548032.3505571429,98.47285714285715,7.6899999999999995,242.57142857142858,6.2628571428571425
NI,746043.6372714286,98.99571428571429,5.095714285714286,185.68571428571428,8.887142857142857
NI,647256.9565428571,99.84142857142857,3.9,187.08571428571426,10.065714285714284
NI,524741.3734571429,100.47714285714287,4.611428571428571,181.78571428571428,8.552857142857142
NI,82111.14795714286,100.79428571428572,4.928571428571429,199.04285714285714,4.924285714285714
NI,60176.18954285715,101.14285714285714,5.724285714285714,150.9714285714286,2.9771428571428573
NI,152334.52372857142,101.31714285714285,5.585714285714286,119.45714285714287,3.855714285714286
NI,447496.5938428571,100.88571428571429,6.255714285714285,119.10000000000001,6.6657142857142855
NI,541697.0073142857,100.0,9.23,117.72857142857143,8.801428571428572
NI,533049.5235714286,99.60142857142857,10.094285714285714,279.92857142857144,6.281428571428571
NI,584882.4726285714,99.57571428571428,9.212857142857144,295.11428571428576,6.327142857142857
NI,589772.5488714286,98.06857142857143,8.725714285714286,350.0142857142857,7.872857142857143
NI,618663.1606285714,98.6842857142857,5.894285714285714,210.01428571428573,11.351428571428572
NI,632579.549,99.64285714285714,6.532857142857144,233.28571428571428,8.665714285714285
NI,468151.54954285716,100.64857142857143,7.607142857142857,213.92857142857142,8.895714285714286
NI,332253.53528571426,101.47142857142856,7.92,182.75714285714284,7.125714285714286
NI,734145.6576285714,101.50857142857141,7.188571428571429,303.9714285714286,5.8742857142857146
