DATE,Avg_WS50M
13/08/2017,10.1631
14/08/2017,6.3062
15/08/2017,7.6215
16/08/2017,9.1531
17/08/2017,11.8869
18/08/2017,6.3769
19/08/2017,4.5477
20/08/2017,7.4069
21/08/2017,8.2723
22/08/2017,4.8346
23/08/2017,4.4454
24/08/2017,6.0569
25/08/2017,7.0646
26/08/2017,6.5038
27/08/2017,7.0631
28/08/2017,7.6777
29/08/2017,5.7208
30/08/2017,4.4685
31/08/2017,6.2531
1/09/2017,7.3677
2/09/2017,8.1638
3/09/2017,7.7592
4/09/2017,4.0385
5/09/2017,8.1185
6/09/2017,10.2454
7/09/2017,11.8546
8/09/2017,11.7715
9/09/2017,10.0654
10/09/2017,9.8723
11/09/2017,6.6838
12/09/2017,7.6885
13/09/2017,8.1362
14/09/2017,9.1608
15/09/2017,11.1023
16/09/2017,8.8177
17/09/2017,9.9538
18/09/2017,7.8092
19/09/2017,5.2615
20/09/2017,2.9723
21/09/2017,4.5154
22/09/2017,4.5723
23/09/2017,5.1469
24/09/2017,8.9954
25/09/2017,13.0185
26/09/2017,12.9962
27/09/2017,4.2138
28/09/2017,4.2569
29/09/2017,8.2923
30/09/2017,4.9431
1/10/2017,6.3746
2/10/2017,9.7085
3/10/2017,7.6462
4/10/2017,10.4792
5/10/2017,6.4408
6/10/2017,6.7285
7/10/2017,6.1854
8/10/2017,8.0408
9/10/2017,7.3546
10/10/2017,5.1077
11/10/2017,10.1262
12/10/2017,4.5815
13/10/2017,9.9877
14/10/2017,8.8823
15/10/2017,9.0154
16/10/2017,8.3331
17/10/2017,6.1954
18/10/2017,7.4208
19/10/2017,3.9562
20/10/2017,3.61
21/10/2017,9.3385
22/10/2017,10.6262
23/10/2017,8.2392
24/10/2017,7.5931
25/10/2017,9.5169
26/10/2017,7.8646
27/10/2017,5.0246
28/10/2017,4.0285
29/10/2017,4.8408
30/10/2017,4.7815
31/10/2017,4.5185
1/11/2017,4.4092
2/11/2017,6.6515
3/11/2017,9.4223
4/11/2017,9.9938
5/11/2017,10.0915
6/11/2017,8.0054
7/11/2017,9.5177
8/11/2017,13.1185
9/11/2017,9.4092
10/11/2017,7.1092
11/11/2017,8.2931
12/11/2017,7.4485
13/11/2017,5.7231
14/11/2017,3.46
15/11/2017,2.9377
16/11/2017,5.6608
17/11/2017,6.1392
18/11/2017,8.7462
19/11/2017,7.9192
20/11/2017,6.6754
