DATE,POC_Code,RH2M
2016-08-20,ARA2201,85.3
2016-08-21,ARA2201,85.76
2016-08-22,ARA2201,85.94
2016-08-23,ARA2201,82.77
2016-08-24,ARA2201,90.67
2016-08-25,ARA2201,98.76
2016-08-26,ARA2201,93.49
2016-08-27,ARA2201,79.32
2016-08-28,ARA2201,82.5
2016-08-29,ARA2201,90.59
2016-08-30,ARA2201,78.31
2016-08-31,ARA2201,80.51
2016-09-01,ARA2201,82.88
2016-09-02,ARA2201,90.35
2016-09-03,ARA2201,84.81
2016-09-04,ARA2201,91.23
2016-09-05,ARA2201,86.67
2016-09-06,ARA2201,80.23
2016-09-07,ARA2201,86.85
2016-09-08,ARA2201,73.95
2016-09-09,ARA2201,79.13
2016-09-10,ARA2201,81.82
2016-09-11,ARA2201,81.48
2016-09-12,ARA2201,80.0
2016-09-13,ARA2201,84.49
2016-09-14,ARA2201,95.5
2016-09-15,ARA2201,95.98
2016-09-16,ARA2201,96.41
2016-09-17,ARA2201,95.54
2016-09-18,ARA2201,91.94
2016-09-19,ARA2201,78.47
2016-09-20,ARA2201,78.43
2016-09-21,ARA2201,94.77
2016-09-22,ARA2201,93.94
2016-09-23,ARA2201,84.87
2016-09-24,ARA2201,89.38
2016-09-25,ARA2201,95.94
2016-09-26,ARA2201,92.38
2016-09-27,ARA2201,89.99
2016-09-28,ARA2201,93.42
2016-09-29,ARA2201,95.68
2016-09-30,ARA2201,86.63
2016-10-01,ARA2201,89.16
2016-10-02,ARA2201,97.18
2016-10-03,ARA2201,86.62
2016-10-04,ARA2201,83.07
2016-10-05,ARA2201,85.63
2016-10-06,ARA2201,95.2
2016-10-07,ARA2201,90.1
2016-10-08,ARA2201,82.85
2016-10-09,ARA2201,91.35
2016-10-10,ARA2201,83.69
2016-10-11,ARA2201,88.99
2016-10-12,ARA2201,86.52
2016-10-13,ARA2201,72.83
2016-10-14,ARA2201,88.08
2016-10-15,ARA2201,90.19
2016-10-16,ARA2201,81.33
2016-10-17,ARA2201,77.13
2016-10-18,ARA2201,78.18
2016-10-19,ARA2201,84.71
2016-10-20,ARA2201,91.15
2016-10-21,ARA2201,83.44
2016-10-22,ARA2201,80.34
2016-10-23,ARA2201,79.16
2016-10-24,ARA2201,83.91
2016-10-25,ARA2201,87.71
2016-10-26,ARA2201,85.96
2016-10-27,ARA2201,76.98
2016-10-28,ARA2201,82.01
2016-10-29,ARA2201,72.24
2016-10-30,ARA2201,75.14
2016-10-31,ARA2201,69.74
2016-11-01,ARA2201,70.88
2016-11-02,ARA2201,84.34
2016-11-03,ARA2201,72.02
2016-11-04,ARA2201,71.73
2016-11-05,ARA2201,82.22
2016-11-06,ARA2201,85.15
2016-11-07,ARA2201,92.0
2016-11-08,ARA2201,77.15
2016-11-09,ARA2201,75.6
2016-11-10,ARA2201,79.19
2016-11-11,ARA2201,83.56
2016-11-12,ARA2201,90.39
2016-11-13,ARA2201,71.74
2016-11-14,ARA2201,79.63
2016-11-15,ARA2201,95.32
2016-11-16,ARA2201,82.65
2016-11-17,ARA2201,89.91
2016-11-18,ARA2201,66.05
2016-11-19,ARA2201,83.55
2016-11-20,ARA2201,66.22
2016-11-21,ARA2201,71.89
2016-11-22,ARA2201,73.17
2016-11-23,ARA2201,69.63
2016-11-24,ARA2201,67.13
2016-11-25,ARA2201,87.4
2016-11-26,ARA2201,77.15
2016-11-27,ARA2201,77.25
2016-11-28,ARA2201,66.31
2016-11-29,ARA2201,73.51
2016-11-30,ARA2201,74.98
2016-12-01,ARA2201,76.27
2016-12-02,ARA2201,74.63
2016-12-03,ARA2201,66.79
2016-12-04,ARA2201,69.22
2016-12-05,ARA2201,85.67
2016-12-06,ARA2201,77.03
2016-12-07,ARA2201,82.09
2016-12-08,ARA2201,93.05
2016-12-09,ARA2201,77.66
2016-12-10,ARA2201,83.23
2016-12-11,ARA2201,67.03
2016-12-12,ARA2201,64.89
2016-12-13,ARA2201,61.48
2016-12-14,ARA2201,79.39
2016-12-15,ARA2201,78.28
2016-12-16,ARA2201,57.44
2016-12-17,ARA2201,57.15
2016-12-18,ARA2201,66.24
2016-12-19,ARA2201,75.21
2016-12-20,ARA2201,51.99
