Fuel_Code,Trading_date,Total_TP
Wind,2016-04-08,5853833.2081
Wind,2016-04-09,3377986.555
Wind,2016-04-10,2316652.9212
Wind,2016-04-11,6834762.2464
Wind,2016-04-12,7180215.43
Wind,2016-04-13,2910272.2425
Wind,2016-04-14,3268584.4941
Wind,2016-04-15,1789265.434
Wind,2016-04-16,5468773.367000001
Wind,2016-04-17,5637308.0206
Wind,2016-04-18,3960303.5635
Wind,2016-04-19,2581739.1951
Wind,2016-04-20,3773134.3545
Wind,2016-04-21,1647603.124
Wind,2016-04-22,3390138.3747
Wind,2016-04-23,8587777.0877
Wind,2016-04-24,5883299.1013
Wind,2016-04-25,5529195.2894
Wind,2016-04-26,4367923.2071
Wind,2016-04-27,2698382.1028
Wind,2016-04-28,7199648.65
Wind,2016-04-29,8929326.406
Wind,2016-04-30,3564107.2458
Wind,2016-05-01,7627109.0975
Wind,2016-05-02,8636021.544
Wind,2016-05-03,8322830.114399999
Wind,2016-05-04,6130048.8395
Wind,2016-05-05,5113278.3991
Wind,2016-05-06,4152481.8444
Wind,2016-05-07,4680194.1819
Wind,2016-05-08,3338642.7811000003
Wind,2016-05-09,4503927.9337
Wind,2016-05-10,3085187.4335
Wind,2016-05-11,7115684.4
Wind,2016-05-12,9210171.563
Wind,2016-05-13,9706771.3
Wind,2016-05-14,9408042.11
Wind,2016-05-15,7996690.74
Wind,2016-05-16,9066123.38
Wind,2016-05-17,3885529.1404
Wind,2016-05-18,8241869.962
Wind,2016-05-19,8353132.51
Wind,2016-05-20,8480010.405000001
Wind,2016-05-21,3942616.2031
Wind,2016-05-22,4403625.4621
Wind,2016-05-23,3253171.9979
Wind,2016-05-24,5054312.831
Wind,2016-05-25,7309571.501
Wind,2016-05-26,7404386.8952
Wind,2016-05-27,4912420.7117
Wind,2016-05-28,7325423.097
Wind,2016-05-29,4827888.6279
Wind,2016-05-30,1761422.8919000002
Wind,2016-05-31,2801545.1698000003
Wind,2016-06-01,3022980.413
Wind,2016-06-02,1197741.1379999998
Wind,2016-06-03,1421966.7617
Wind,2016-06-04,691027.2555
Wind,2016-06-05,617591.4848
Wind,2016-06-06,4023473.6388
Wind,2016-06-07,2436326.1077
Wind,2016-06-08,3043511.9603
Wind,2016-06-09,3696395.4994
Wind,2016-06-10,8958105.091
Wind,2016-06-11,9218296.77
Wind,2016-06-12,8944915.578
Wind,2016-06-13,4704183.122
Wind,2016-06-14,8521118.684
Wind,2016-06-15,8987948.2186
Wind,2016-06-16,5483168.438
Wind,2016-06-17,8496381.7506
Wind,2016-06-18,10366550.22
Wind,2016-06-19,6834603.4679000005
Wind,2016-06-20,4007397.7415
Wind,2016-06-21,6441864.932
Wind,2016-06-22,4852572.8236
Wind,2016-06-23,6839948.2481
Wind,2016-06-24,5480142.5495
Wind,2016-06-25,3834177.2796
Wind,2016-06-26,7096548.0235
Wind,2016-06-27,4533506.5272
Wind,2016-06-28,3887415.0983
Wind,2016-06-29,3793570.1939
Wind,2016-06-30,6797031.0256
Wind,2016-07-01,3452142.3782
Wind,2016-07-02,7852380.3054
Wind,2016-07-03,8838850.5788
Wind,2016-07-04,9491693.5067
Wind,2016-07-05,3873317.2193
Wind,2016-07-06,3042173.3134000003
Wind,2016-07-07,5193405.6466
Wind,2016-07-08,9348904.3168
Wind,2016-07-09,7294505.3401
Wind,2016-07-10,4063958.7066
Wind,2016-07-11,2807248.6141
Wind,2016-07-12,2776665.3298
Wind,2016-07-13,6667609.415
Wind,2016-07-14,8118808.41
Wind,2016-07-15,8121204.11
Wind,2016-07-16,4158534.97
Wind,2016-07-17,7012851.6756
Wind,2016-07-18,3967508.707
Wind,2016-07-19,7972604.105
Wind,2016-07-20,5625185.0342
Wind,2016-07-21,3754002.5304
Wind,2016-07-22,7195410.6308
Wind,2016-07-23,7513804.603
Wind,2016-07-24,8255317.509000001
Wind,2016-07-25,8322980.298599999
Wind,2016-07-26,3599739.7864
Wind,2016-07-27,9323592.24
Wind,2016-07-28,9306351.7
Wind,2016-07-29,6717028.7646
Wind,2016-07-30,8662498.83
Wind,2016-07-31,7617122.47
Wind,2016-08-01,5874782.681700001
Wind,2016-08-02,3461614.382
Wind,2016-08-03,7673229.8793
Wind,2016-08-04,4717033.0771
Wind,2016-08-05,8298157.5968
Wind,2016-08-06,8862566.370099999
Wind,2016-08-07,3753914.7789
Wind,2016-08-08,2506779.9767
Wind,2016-08-09,3734547.9497
Wind,2016-08-10,4351744.8682
Wind,2016-08-11,3505790.3831
Wind,2016-08-12,4114859.5898
Wind,2016-08-13,3676738.2903
Wind,2016-08-14,5677884.2121
Wind,2016-08-15,4529802.9439
