Fuel_Code,Trading_date,Total_TP
Wind,2015-04-13,6874306.3685
Hydro,2015-04-13,0.0
Wind,2015-04-14,0.0
Hydro,2015-04-14,0.0
Wind,2015-04-14,2675757.4092
Hydro,2015-04-14,62085107.18
Hydro,2015-04-15,58586771.73
Hydro,2015-04-15,0.0
Wind,2015-04-15,3947756.0093
Wind,2015-04-15,0.0
Wind,2015-04-16,2776544.1758
Hydro,2015-04-16,0.0
Wind,2015-04-16,0.0
Hydro,2015-04-16,58519914.09
Hydro,2015-04-17,53321180.153
Wind,2015-04-17,8401789.8114
Wind,2015-04-17,0.0
Hydro,2015-04-17,0.0
Wind,2015-04-18,4380543.9378
Hydro,2015-04-18,0.0
Wind,2015-04-18,0.0
Hydro,2015-04-18,51092567.433
Wind,2015-04-19,3497720.0233
Hydro,2015-04-19,0.0
Wind,2015-04-19,0.0
Hydro,2015-04-19,47180163.99
Hydro,2015-04-20,0.0
Hydro,2015-04-20,51658031.676
Wind,2015-04-20,4769896.95
Wind,2015-04-20,0.0
Wind,2015-04-21,0.0
Wind,2015-04-21,1261171.0899
Hydro,2015-04-21,56653742.4746
Hydro,2015-04-21,0.0
Hydro,2015-04-22,54577952.32
Hydro,2015-04-22,0.0
Wind,2015-04-22,3167074.4533
Wind,2015-04-22,0.0
Hydro,2015-04-23,54043434.62
Hydro,2015-04-23,0.0
Wind,2015-04-23,4176301.0574
Wind,2015-04-23,0.0
Hydro,2015-04-24,0.0
Hydro,2015-04-24,54445267.86
Wind,2015-04-24,3406787.7229
Wind,2015-04-24,0.0
Hydro,2015-04-25,45058351.76
Wind,2015-04-25,0.0
Hydro,2015-04-25,0.0
Wind,2015-04-25,4829528.6831
Wind,2015-04-26,0.0
Wind,2015-04-26,7325580.5714
Hydro,2015-04-26,45643933.92
Hydro,2015-04-26,0.0
Wind,2015-04-27,6550894.9895
Wind,2015-04-27,0.0
Hydro,2015-04-27,52044274.925
Hydro,2015-04-27,0.0
Wind,2015-04-28,0.0
Wind,2015-04-28,6614334.5352
Hydro,2015-04-28,62363828.14
Hydro,2015-04-28,0.0
Wind,2015-04-29,0.0
Hydro,2015-04-29,0.0
Hydro,2015-04-29,61776656.271
Wind,2015-04-29,8556003.827
Hydro,2015-04-30,0.0
Hydro,2015-04-30,64128401.654
Wind,2015-04-30,0.0
Wind,2015-04-30,4332798.9578
Wind,2015-05-01,4466937.8926
Wind,2015-05-01,0.0
Hydro,2015-05-01,0.0
Hydro,2015-05-01,64187692.13
Wind,2015-05-02,5411842.377
Wind,2015-05-02,0.0
Hydro,2015-05-02,0.0
Hydro,2015-05-02,55289711.6
Wind,2015-05-03,3282464.6651
Hydro,2015-05-03,0.0
Wind,2015-05-03,0.0
Hydro,2015-05-03,56421235.28
Wind,2015-05-04,0.0
Wind,2015-05-04,6751612.6194
Hydro,2015-05-04,61727830.332
Hydro,2015-05-04,0.0
Wind,2015-05-05,0.0
Wind,2015-05-05,8745447.416000001
Hydro,2015-05-05,64264262.676
Hydro,2015-05-05,0.0
Wind,2015-05-06,8510602.175
Wind,2015-05-06,0.0
Hydro,2015-05-06,66097442.317
Hydro,2015-05-06,0.0
Hydro,2015-05-07,0.0
Hydro,2015-05-07,68635242.453
Wind,2015-05-07,0.0
Wind,2015-05-07,8699699.02
Hydro,2015-05-08,70723669.03
Wind,2015-05-08,8145201.149399999
Hydro,2015-05-08,0.0
Wind,2015-05-08,0.0
Hydro,2015-05-09,60504033.561
Wind,2015-05-09,8374712.105
Wind,2015-05-09,0.0
Hydro,2015-05-09,0.0
Hydro,2015-05-10,58801986.992
Wind,2015-05-10,7838654.24
Hydro,2015-05-10,0.0
Wind,2015-05-10,0.0
Hydro,2015-05-11,69937131.83
Wind,2015-05-11,6464977.905
Wind,2015-05-11,0.0
Hydro,2015-05-11,0.0
Hydro,2015-05-12,72789812.745
Wind,2015-05-12,0.0
Wind,2015-05-12,7255144.097
Hydro,2015-05-12,0.0
Hydro,2015-05-13,0.0
Wind,2015-05-13,0.0
Wind,2015-05-13,8866799.1
Hydro,2015-05-13,71076421.86
Hydro,2015-05-14,72712052.72
Wind,2015-05-14,0.0
Wind,2015-05-14,6103302.9328
Hydro,2015-05-14,0.0
Wind,2015-05-15,0.0
Hydro,2015-05-15,76685063.51
Hydro,2015-05-15,0.0
Wind,2015-05-15,3269990.5238
Wind,2015-05-16,3209105.5218
Wind,2015-05-16,0.0
Hydro,2015-05-16,0.0
Hydro,2015-05-16,66103337.47
Hydro,2015-05-17,0.0
Wind,2015-05-17,0.0
Hydro,2015-05-17,66505221.86
Wind,2015-05-17,1800462.9561
Hydro,2015-05-18,0.0
Wind,2015-05-18,6651788.02
Wind,2015-05-18,0.0
Hydro,2015-05-18,71158102.32000001
Hydro,2015-05-19,75557726.88
Hydro,2015-05-19,0.0
Wind,2015-05-19,2412087.0562
Wind,2015-05-19,0.0
Hydro,2015-05-20,0.0
Wind,2015-05-20,0.0
Hydro,2015-05-20,77096682.401
Wind,2015-05-20,3484411.7885
Hydro,2015-05-21,0.0
Wind,2015-05-21,9590542.05
Hydro,2015-05-21,71013139.5578
Wind,2015-05-21,0.0
Wind,2015-05-22,3650287.1223
Hydro,2015-05-22,76053741.14
Wind,2015-05-22,0.0
Hydro,2015-05-22,0.0
Wind,2015-05-23,4928052.0978
Hydro,2015-05-23,68409284.19
Wind,2015-05-23,0.0
Hydro,2015-05-23,0.0
Wind,2015-05-24,5950242.476
Hydro,2015-05-24,0.0
Wind,2015-05-24,0.0
Hydro,2015-05-24,70027124.66
Wind,2015-05-25,0.0
Wind,2015-05-25,3632075.1226
Hydro,2015-05-25,79551724.89
Hydro,2015-05-25,0.0
Hydro,2015-05-26,0.0
Hydro,2015-05-26,81763179.45
Wind,2015-05-26,2594423.8269
Wind,2015-05-26,0.0
Wind,2015-05-27,2127745.5496
Hydro,2015-05-27,79665195.37
Wind,2015-05-27,0.0
Hydro,2015-05-27,0.0
Wind,2015-05-28,614126.9794000001
Hydro,2015-05-28,82456081.663
Wind,2015-05-28,0.0
Hydro,2015-05-28,0.0
Wind,2015-05-29,0.0
Hydro,2015-05-29,0.0
Hydro,2015-05-29,79587425.9654
Wind,2015-05-29,3556538.5372
