DATE,Avg_PS
2016-10-30,100.6977
2016-10-31,100.5069
2016-11-01,99.7008
2016-11-02,99.0538
2016-11-03,98.8577
2016-11-04,98.8677
2016-11-05,98.9054
2016-11-06,98.7808
2016-11-07,98.5923
2016-11-08,99.2569
2016-11-09,99.6738
2016-11-10,99.4892
2016-11-11,98.8646
2016-11-12,98.2731
2016-11-13,99.1531
2016-11-14,99.2985
2016-11-15,98.3762
2016-11-16,97.8123
2016-11-17,97.8177
2016-11-18,98.9038
2016-11-19,98.8108
2016-11-20,99.6192
2016-11-21,100.3462
2016-11-22,100.4738
2016-11-23,100.0992
2016-11-24,99.8885
2016-11-25,98.7538
2016-11-26,98.3177
2016-11-27,97.9777
2016-11-28,98.7854
2016-11-29,99.2454
2016-11-30,99.6062
2016-12-01,99.8815
2016-12-02,99.8608
2016-12-03,99.8477
2016-12-04,100.0785
2016-12-05,100.3492
2016-12-06,100.2038
2016-12-07,99.7985
2016-12-08,99.5038
2016-12-09,99.4531
2016-12-10,98.8462
2016-12-11,99.1815
2016-12-12,99.5723
2016-12-13,99.8762
2016-12-14,99.3292
2016-12-15,99.05
2016-12-16,99.8523
2016-12-17,100.26
2016-12-18,99.7585
2016-12-19,99.59
2016-12-20,100.4023
2016-12-21,100.1285
2016-12-22,99.2985
2016-12-23,98.8869
2016-12-24,99.3715
2016-12-25,99.8685
2016-12-26,100.1992
2016-12-27,99.7669
2016-12-28,99.71
2016-12-29,99.5338
2016-12-30,99.7115
2016-12-31,99.4977
2017-01-01,99.0292
2017-01-02,99.5385
2017-01-03,99.1669
2017-01-04,99.3392
2017-01-05,100.1746
2017-01-06,99.7246
2017-01-07,99.4038
2017-01-08,99.1323
2017-01-09,99.1731
2017-01-10,99.48
2017-01-11,99.4392
2017-01-12,98.8223
2017-01-13,99.0377
2017-01-14,99.1354
2017-01-15,98.5677
2017-01-16,99.3615
2017-01-17,99.5654
2017-01-18,98.8454
2017-01-19,97.73
2017-01-20,99.0408
2017-01-21,99.3254
2017-01-22,97.6
2017-01-23,98.76
2017-01-24,99.7646
2017-01-25,99.1354
2017-01-26,99.3669
2017-01-27,99.5808
2017-01-28,100.3177
2017-01-29,100.1246
2017-01-30,100.2546
2017-01-31,99.8523
2017-02-01,99.7392
2017-02-02,99.59
2017-02-03,99.4738
2017-02-04,99.8831
2017-02-05,100.1631
2017-02-06,99.7769
2017-02-07,100.0023
2017-02-08,100.7938
2017-02-09,100.6792
2017-02-10,99.6377
2017-02-11,99.0838
2017-02-12,98.1708
2017-02-13,98.0146
2017-02-14,99.0623
2017-02-15,99.7985
2017-02-16,100.0862
2017-02-17,100.1608
2017-02-18,100.39
2017-02-19,100.6908
2017-02-20,100.9354
2017-02-21,100.6485
2017-02-22,100.2777
2017-02-23,100.6715
2017-02-24,100.4823
2017-02-25,99.9323
2017-02-26,100.5346
2017-02-27,101.3938
2017-02-28,101.6585
2017-03-01,101.3015
2017-03-02,100.8731
2017-03-03,100.21
2017-03-04,99.8962
2017-03-05,99.79
2017-03-06,99.6477
2017-03-07,99.5746
2017-03-08,100.2223
2017-03-09,100.5031
2017-03-10,100.0869
2017-03-11,99.1831
2017-03-12,98.7677
2017-03-13,99.7185
2017-03-14,100.4054
2017-03-15,101.1192
2017-03-16,101.1854
2017-03-17,100.9762
2017-03-18,101.0162
2017-03-19,100.9615
2017-03-20,100.0592
2017-03-21,99.9692
2017-03-22,99.7677
2017-03-23,100.2585
2017-03-24,99.9015
2017-03-25,100.0923
2017-03-26,100.0238
2017-03-27,99.6269
2017-03-28,99.8469
2017-03-29,99.78
2017-03-30,100.0269
2017-03-31,100.2954
2017-04-01,100.2169
2017-04-02,100.1738
2017-04-03,100.5392
2017-04-04,100.6369
2017-04-05,99.4954
2017-04-06,99.0915
2017-04-07,100.3562
2017-04-08,101.2885
2017-04-09,101.2385
2017-04-10,100.8185
2017-04-11,100.4223
2017-04-12,99.8631
2017-04-13,99.2685
2017-04-14,98.5438
2017-04-15,98.8877
2017-04-16,99.6092
2017-04-17,100.0108
2017-04-18,100.71
2017-04-19,100.4277
2017-04-20,100.7169
2017-04-21,101.2377
2017-04-22,101.3454
2017-04-23,100.9062
2017-04-24,100.2946
2017-04-25,100.4154
2017-04-26,100.2969
2017-04-27,100.24
2017-04-28,99.7185
2017-04-29,99.3262
2017-04-30,98.5085
2017-05-01,99.8723
2017-05-02,100.4046
2017-05-03,99.8246
2017-05-04,99.8092
2017-05-05,100.6623
2017-05-06,101.1208
2017-05-07,101.2131
2017-05-08,101.01
2017-05-09,100.9185
2017-05-10,100.9808
2017-05-11,100.0546
2017-05-12,99.5377
2017-05-13,100.3992
2017-05-14,100.8592
2017-05-15,100.9415
2017-05-16,100.8462
2017-05-17,99.7638
2017-05-18,99.0462
2017-05-19,99.4354
2017-05-20,99.48
2017-05-21,100.9308
2017-05-22,101.3054
2017-05-23,100.4638
2017-05-24,100.3769
2017-05-25,100.4992
2017-05-26,100.1515
2017-05-27,99.8877
2017-05-28,100.2792
2017-05-29,100.4231
2017-05-30,100.0123
2017-05-31,99.9608
2017-06-01,100.2862
2017-06-02,100.1569
2017-06-03,99.7523
2017-06-04,99.7992
2017-06-05,100.0638
2017-06-06,100.0646
2017-06-07,100.2508
2017-06-08,100.6792
2017-06-09,100.43
2017-06-10,100.1223
2017-06-11,100.5131
2017-06-12,100.2162
2017-06-13,99.4592
2017-06-14,99.9246
2017-06-15,100.3654
2017-06-16,100.7423
2017-06-17,101.2969
2017-06-18,101.24
2017-06-19,101.2023
2017-06-20,101.3031
2017-06-21,100.9046
2017-06-22,100.3062
2017-06-23,98.9008
2017-06-24,98.1331
2017-06-25,99.0415
2017-06-26,99.9892
2017-06-27,100.2954
2017-06-28,100.7915
2017-06-29,100.9046
2017-06-30,100.5292
2017-07-01,99.9592
2017-07-02,99.3323
2017-07-03,99.2723
2017-07-04,99.5223
2017-07-05,100.0354
2017-07-06,99.7746
2017-07-07,99.3277
2017-07-08,99.3631
2017-07-09,98.9231
2017-07-10,99.5815
2017-07-11,99.6523
2017-07-12,99.6815
2017-07-13,99.6262
2017-07-14,100.1062
2017-07-15,100.6608
2017-07-16,100.7031
2017-07-17,100.5054
2017-07-18,100.4308
2017-07-19,99.7015
2017-07-20,98.2692
2017-07-21,96.8138
2017-07-22,97.5738
2017-07-23,98.9208
2017-07-24,98.8192
2017-07-25,98.93
2017-07-26,99.2008
2017-07-27,98.9592
2017-07-28,99.7023
2017-07-29,100.6877
2017-07-30,101.1454
2017-07-31,100.9308
2017-08-01,100.6269
2017-08-02,100.5477
2017-08-03,100.5792
2017-08-04,100.9246
2017-08-05,100.9492
2017-08-06,100.4754
2017-08-07,100.6038
2017-08-08,100.3169
2017-08-09,99.0885
2017-08-10,98.4785
2017-08-11,98.5062
2017-08-12,98.8069
2017-08-13,99.1908
2017-08-14,99.0992
2017-08-15,99.1485
2017-08-16,99.39
2017-08-17,98.9023
2017-08-18,98.51
2017-08-19,97.5346
2017-08-20,97.7423
2017-08-21,99.0862
2017-08-22,100.3538
2017-08-23,100.9369
2017-08-24,101.1046
2017-08-25,101.2362
2017-08-26,101.11
2017-08-27,100.5015
2017-08-28,99.7885
2017-08-29,99.9808
2017-08-30,99.8685
2017-08-31,99.5585
2017-09-01,99.7038
2017-09-02,99.4015
2017-09-03,99.4062
2017-09-04,99.6169
2017-09-05,99.5454
2017-09-06,98.8746
2017-09-07,98.1662
2017-09-08,98.3346
2017-09-09,97.4423
2017-09-10,97.3992
2017-09-11,98.4308
2017-09-12,98.8838
2017-09-13,99.0815
2017-09-14,99.3015
2017-09-15,99.1685
2017-09-16,98.9731
2017-09-17,99.1654
2017-09-18,98.7308
2017-09-19,99.4438
2017-09-20,99.5754
2017-09-21,99.2731
2017-09-22,99.3685
2017-09-23,99.7715
2017-09-24,99.6777
2017-09-25,99.2931
2017-09-26,98.8715
2017-09-27,99.5515
2017-09-28,99.6538
2017-09-29,99.08
2017-09-30,98.7531
2017-10-01,97.8338
2017-10-02,98.7177
2017-10-03,100.0323
2017-10-04,100.0846
2017-10-05,100.6431
2017-10-06,100.5554
2017-10-07,100.3285
2017-10-08,100.0823
2017-10-09,99.6254
2017-10-10,98.9015
2017-10-11,99.0192
2017-10-12,100.0138
2017-10-13,99.5462
2017-10-14,99.5577
2017-10-15,99.7562
2017-10-16,100.2246
2017-10-17,100.33
2017-10-18,100.8469
2017-10-19,101.0454
2017-10-20,100.1369
2017-10-21,98.8792
2017-10-22,98.7
2017-10-23,98.9923
2017-10-24,99.1662
2017-10-25,99.2092
2017-10-26,99.2946
2017-10-27,100.2615
2017-10-28,100.8738
2017-10-29,100.9931
2017-10-30,101.11
2017-10-31,101.1792
2017-11-01,101.1892
2017-11-02,100.6608
2017-11-03,99.8685
2017-11-04,99.5154
2017-11-05,99.4146
2017-11-06,99.7408
2017-11-07,99.63
2017-11-08,99.1092
2017-11-09,99.7554
2017-11-10,99.9569
2017-11-11,100.0154
2017-11-12,99.8638
2017-11-13,100.57
2017-11-14,101.0138
2017-11-15,101.1062
2017-11-16,100.6631
2017-11-17,100.4154
2017-11-18,100.7462
2017-11-19,100.4392
2017-11-20,100.2977
2017-11-21,100.5354
2017-11-22,100.8823
2017-11-23,101.1331
2017-11-24,101.0954
2017-11-25,101.1623
2017-11-26,101.0954
2017-11-27,101.1462
2017-11-28,101.2285
2017-11-29,100.9162
2017-11-30,100.9485
2017-12-01,101.1846
2017-12-02,100.8685
2017-12-03,100.4277
2017-12-04,100.2508
2017-12-05,100.0669
2017-12-06,100.2754
2017-12-07,100.2469
2017-12-08,100.3069
2017-12-09,100.2162
2017-12-10,100.0177
2017-12-11,99.7185
2017-12-12,99.5785
2017-12-13,99.4315
2017-12-14,99.8738
2017-12-15,100.0838
2017-12-16,100.2323
2017-12-17,99.8954
2017-12-18,99.6423
2017-12-19,99.0592
2017-12-20,99.1946
2017-12-21,99.3408
2017-12-22,99.7654
2017-12-23,100.0277
2017-12-24,99.8569
2017-12-25,99.4715
2017-12-26,99.2923
2017-12-27,100.1092
2017-12-28,100.2423
2017-12-29,100.0377
2017-12-30,99.5715
2017-12-31,99.2877
2018-01-01,99.5477
2018-01-02,99.7292
2018-01-03,99.7377
2018-01-04,99.2992
2018-01-05,97.7831
2018-01-06,99.0862
